country,year,value,unit,category
EA20,2001,28520.0,Euros,GDP per capita
EE,2001,9580.0,Euros,GDP per capita
EL,2001,16890.0,Euros,GDP per capita
ES,2001,22470.0,Euros,GDP per capita
EU27_2020,2001,24400.0,Euros,GDP per capita
FI,2001,34960.0,Euros,GDP per capita
FR,2001,30410.0,Euros,GDP per capita
HR,2001,8490.0,Euros,GDP per capita
HU,2001,8440.0,Euros,GDP per capita
IE,2001,39860.0,Euros,GDP per capita
IT,2001,29960.0,Euros,GDP per capita
LT,2001,6180.0,Euros,GDP per capita
LU,2001,84880.0,Euros,GDP per capita
LV,2001,6160.0,Euros,GDP per capita
MT,2001,15250.0,Euros,GDP per capita
NL,2001,37220.0,Euros,GDP per capita
PL,2001,6750.0,Euros,GDP per capita
PT,2001,17170.0,Euros,GDP per capita
RO,2001,4340.0,Euros,GDP per capita
SE,2001,37880.0,Euros,GDP per capita
SI,2001,14940.0,Euros,GDP per capita
SK,2001,8360.0,Euros,GDP per capita
AT,2002,35430.0,Euros,GDP per capita
BE,2002,32990.0,Euros,GDP per capita
BG,2002,3830.0,Euros,GDP per capita
CY,2002,21270.0,Euros,GDP per capita
CZ,2002,11880.0,Euros,GDP per capita
DE,2002,32320.0,Euros,GDP per capita
DK,2002,44770.0,Euros,GDP per capita
EA20,2002,28640.0,Euros,GDP per capita
EE,2002,10310.0,Euros,GDP per capita
EL,2002,17620.0,Euros,GDP per capita
ES,2002,22720.0,Euros,GDP per capita
EU27_2020,2002,24610.0,Euros,GDP per capita
FI,2002,35460.0,Euros,GDP per capita
FR,2002,30520.0,Euros,GDP per capita
HR,2002,8970.0,Euros,GDP per capita
HU,2002,8860.0,Euros,GDP per capita
IE,2002,41480.0,Euros,GDP per capita
IT,2002,29980.0,Euros,GDP per capita
LT,2002,6650.0,Euros,GDP per capita
LU,2002,86680.0,Euros,GDP per capita
LV,2002,6710.0,Euros,GDP per capita
MT,2002,15550.0,Euros,GDP per capita
NL,2002,37080.0,Euros,GDP per capita
PL,2002,6880.0,Euros,GDP per capita
PT,2002,17210.0,Euros,GDP per capita
RO,2002,4740.0,Euros,GDP per capita
SE,2002,38620.0,Euros,GDP per capita
SI,2002,15410.0,Euros,GDP per capita
SK,2002,8730.0,Euros,GDP per capita
AT,2003,35680.0,Euros,GDP per capita
BE,2003,33190.0,Euros,GDP per capita
BG,2003,4050.0,Euros,GDP per capita
CY,2003,21570.0,Euros,GDP per capita
CZ,2003,12270.0,Euros,GDP per capita
DE,2003,32160.0,Euros,GDP per capita
DK,2003,44850.0,Euros,GDP per capita
EA20,2003,28690.0,Euros,GDP per capita
EE,2003,11160.0,Euros,GDP per capita
EL,2003,18600.0,Euros,GDP per capita
ES,2003,22960.0,Euros,GDP per capita
EU27_2020,2003,24740.0,Euros,GDP per capita
FI,2003,36090.0,Euros,GDP per capita
FR,2003,30600.0,Euros,GDP per capita
HR,2003,9470.0,Euros,GDP per capita
HU,2003,9240.0,Euros,GDP per capita
IE,2003,42030.0,Euros,GDP per capita
IT,2003,29840.0,Euros,GDP per capita
LT,2003,7410.0,Euros,GDP per capita
LU,2003,87840.0,Euros,GDP per capita
LV,2003,7340.0,Euros,GDP per capita
MT,2003,16020.0,Euros,GDP per capita
NL,2003,36940.0,Euros,GDP per capita
PL,2003,7130.0,Euros,GDP per capita
PT,2003,16990.0,Euros,GDP per capita
RO,2003,4880.0,Euros,GDP per capita
SE,2003,39210.0,Euros,GDP per capita
SI,2003,15890.0,Euros,GDP per capita
SK,2003,9150.0,Euros,GDP per capita
AT,2004,36360.0,Euros,GDP per capita
BE,2004,34230.0,Euros,GDP per capita
BG,2004,4340.0,Euros,GDP per capita
CY,2004,22350.0,Euros,GDP per capita
CZ,2004,12850.0,Euros,GDP per capita
DE,2004,32570.0,Euros,GDP per capita
DK,2004,45980.0,Euros,GDP per capita
EA20,2004,29200.0,Euros,GDP per capita
EE,2004,12000.0,Euros,GDP per capita
EL,2004,19550.0,Euros,GDP per capita
ES,2004,23310.0,Euros,GDP per capita
EU27_2020,2004,25270.0,Euros,GDP per capita
FI,2004,37420.0,Euros,GDP per capita
FR,2004,31250.0,Euros,GDP per capita
